Participant_id,Technique,Gesture_set,height,distance,Checkpoint_time,Object_view_time,mistake_count,personalization_type
1,WRIST_ARM,GS2,0,3.5,2.322862,0.6527755,0,W1
1,WRIST_ARM,GS2,2.5,7,7.25614,0.7797242,1,W1
1,WRIST_ARM,GS2,0,7,4.382007,1.261917,2,W1
1,WRIST_ARM,GS2,5,3.5,6.337259,1.170765,0,W1
1,WRIST_ARM,GS2,0,7,1.642267,1.602007,4,W2
1,WRIST_ARM,GS2,0,10.5,2.698435,0.5842475,0,W2
1,WRIST_ARM,GS2,2.5,10.5,4.358808,0.4990173,0,W2
1,WRIST_ARM,GS2,0,7,2.560138,0.5253041,0,W2
1,WRIST_ARM,GS2,5,3.5,3.383877,1.965638,0,W2
1,WRIST_ARM,GS2,0,10.5,2.838937,0.3643669,1,W2
1,WRIST_ARM,GS2,0,3.5,3.510005,0.6564975,0,W2
1,WRIST_ARM,GS2,2.5,7,5.390024,1.268452,0,W2
1,WRIST_ARM,GS2,0,7,3.801491,0.6545922,1,W2
1,WRIST_ARM,GS2,2.5,10.5,26.15837,0.5849863,3,W2
1,WRIST_ARM,GS2,0,10.5,3.618945,0.8626945,3,W2
1,WRIST_ARM,GS2,0,7,2.589872,0.5845464,0,W2
1,WRIST_ARM,GS2,5,7,7.266189,2.004558,3,W2
1,WRIST_ARM,GS2,0,3.5,4.523496,1.908076,1,W2
1,WRIST_ARM,GS2,5,10.5,6.072172,0.9487484,1,W2
1,WRIST_ARM,GS2,0,3.5,2.911074,1.336247,2,W2
1,WRIST_ARM,GS2,5,10.5,4.94032,1.015154,0,W2
1,WRIST_ARM,GS2,0,7,5.138553,1.01653,1,W2
1,WRIST_ARM,GS2,5,7,8.451553,1.126788,1,W2
1,WRIST_ARM,GS2,0,7,3.647624,0.8617729,0,W2
1,WRIST_ARM,GS2,5,3.5,7.838035,1.559293,2,W2
1,WRIST_ARM,GS2,0,10.5,3.021523,1.001103,0,W2
1,WRIST_ARM,GS2,0,3.5,2.156402,0.5977891,0,W2
1,WRIST_ARM,GS2,0,10.5,3.580568,1.293994,0,W2
1,WRIST_ARM,GS2,2.5,3.5,1.794374,0.6527116,0,W2
1,WRIST_ARM,GS2,0,3.5,2.687929,1.028943,0,W2
1,WRIST_ARM,GS2,5,10.5,5.21988,0.8621618,0,W2
1,WRIST_ARM,GS2,0,3.5,3.062833,3.062833,1,W2
1,WRIST_ARM,GS2,2.5,3.5,2.2987,0.8212211,1,W2
1,WRIST_ARM,GS2,0,10.5,6.431155,0.7211797,0,W2
1,WRIST_ARM,GS2,5,7,29.85077,1.028863,5,W2
1,WRIST_ARM,GS2,0,3.5,6.891046,1.139872,0,W2
1,WRIST_ARM,GS2,0,3.5,3.465693,1.459672,1,W2
1,WRIST_ARM,GS2,2.5,3.5,7.295031,0.8625139,1,W2
1,WRIST_ARM,GS2,0,10.5,3.50761,0.8341635,1,W2
