,Timestamp,Participant_id,Technique,Gesture_set,Pointer_type,height,distance,Checkpoint_time,Object_view_time,Total_time,mistake_count,d_from_center,d_from_center_with_spike,combo_index,,,,,,,,,,
W5,7/27/2022 15:03,1,WRIST_ARM,GS2,G,0,11,2.450361,0.6326866,59.04434,0,0.506568,1.735654,25,,,,,,,,,,
W5,7/27/2022 15:03,1,WRIST_ARM,GS2,G,0,11,2.255753,1.050089,61.30011,0,0.4446414,2.402731,26,,,,,,,,,,
W5,7/27/2022 15:03,1,WRIST_ARM,GS2,G,0,5.5,1.84418,0.6259818,63.14428,0,0.4769087,0.4769087,27,,,,,,,,,,
W5,7/27/2022 15:03,1,WRIST_ARM,GS2,G,0,5.5,3.501611,0.502669,66.64584,1,0.4881819,2.946781,28,,,,,,,,,,
W5,7/27/2022 15:03,1,WRIST_ARM,GS2,G,0,5.5,1.434222,0.08368281,68.08004,0,0.4815593,1.767284,29,,,,,,,,,,
W5,7/27/2022 15:03,1,WRIST_ARM,GS2,G,2.5,5.5,2.032236,0.8768939,70.11227,0,0.460125,9.968954,30,2.236195103,,,,,,,,,
A1,7/27/2022 15:03,2,ARM,GS2,G,0,5.5,1.67032,0.8408718,1.67032,1,0.4961897,0.499137,,,,,,,,,,,
A1,7/27/2022 15:03,2,ARM,GS2,G,2.5,11,2.408632,0.515383,4.078951,0,0.4617173,0.4617173,1,,,,,,,,,,
A1,7/27/2022 15:03,2,ARM,GS2,G,0,5.5,2.492124,2.492124,6.571075,0,0.5063637,0.5063637,2,,,,,,,,,,
A1,7/27/2022 15:03,2,ARM,GS2,G,2.5,5.5,1.934902,0.6276266,8.505979,0,0.4808515,0.4808515,3,,,,,,,,,,
A1,7/27/2022 15:03,2,ARM,GS2,G,0,5.5,6.801361,3.577948,15.30733,2,0.4301291,0.4301291,4,,,,,,,,,,
A1,7/27/2022 15:03,2,ARM,GS2,G,0,5.5,2.94414,2.94414,18.25146,0,0.4917033,0.4917033,5,,,,,,,,,,
A1,7/27/2022 15:03,2,ARM,GS2,G,0,11,3.578223,1.170467,21.82969,0,0.4522194,0.8917783,6,,,,,,,,,,
A1,7/27/2022 15:03,2,ARM,GS2,G,0,11,3.480437,1.431716,25.31012,0,0.4551945,0.4899737,7,,,,,,,,,,
A1,7/27/2022 15:03,2,ARM,GS2,G,2.5,11,3.829388,0.8959853,29.1395,0,0.4613229,5.442965,8,,,,,,,,,,
A1,7/27/2022 15:03,2,ARM,GS2,G,0,11,4.769158,1.370599,33.90867,5,0.4756817,0.4756817,9,,,,,,,,,,
A1,7/27/2022 15:03,2,ARM,GS2,G,5,5.5,4.098513,1.781794,38.00716,2,0.5013847,0.5013847,10,,,,,,,,,,
A1,7/27/2022 15:03,2,ARM,GS2,G,0,5.5,2.798677,2.798677,40.80585,0,0.3817887,0.3866286,11,,,,,,,,,,
A1,7/27/2022 15:03,2,ARM,GS2,G,2.5,5.5,2.436286,0.9544732,43.24216,1,0.4577306,0.4577306,12,,,,,,,,,,
A1,7/27/2022 15:03,2,ARM,GS2,G,0,5.5,6.801361,3.577948,15.30733,2,0.4301291,0.4301291,13,,,,,,,,,,
A1,7/27/2022 15:03,2,ARM,GS2,G,0,5.5,2.94414,2.94414,18.25146,0,0.4917033,0.4917033,14,,,,,,,,,,
A1,7/27/2022 15:03,2,ARM,GS2,G,0,11,3.578223,1.170467,21.82969,0,0.4522194,0.8917783,15,,,,,,,,,,
A1,7/27/2022 15:03,2,ARM,GS2,G,0,11,3.480437,1.431716,25.31012,0,0.4551945,0.4899737,16,,,,,,,,,,
A1,7/27/2022 15:03,2,ARM,GS2,G,5,5.5,6.536326,0.9099286,57.02526,3,0.5120952,0.5120952,17,,,,,,,,,,
A1,7/27/2022 15:03,2,ARM,GS2,G,0,5.5,4.733719,4.733719,61.759,2,0.4764502,0.4764502,18,,,,,,,,,,
A1,7/27/2022 15:03,2,ARM,GS2,G,5,11,3.647558,1.203012,65.40651,1,0.5106931,0.5106931,19,,,,,,,,,,
A1,7/27/2022 15:03,2,ARM,GS2,G,0,11,3.243698,1.299929,68.65022,0,0.4782387,1.004272,20,,,,,,,,,,
A1,7/27/2022 15:03,2,ARM,GS2,G,2.5,5.5,2.061257,0.5437062,22.84057,0,0.4285368,0.4285368,21,,,,,,,,,,
A1,7/27/2022 15:03,2,ARM,GS2,G,0,5.5,2.339234,1.176054,25.17981,0,0.5012652,0.5012652,22,,,,,,,,,,
A1,7/27/2022 15:03,2,ARM,GS2,G,0,11,3.807787,0.8636892,47.04998,1,0.42584,0.4890722,23,,,,,,,,,,
A1,7/27/2022 15:03,2,ARM,GS2,G,0,11,3.438979,0.01349406,50.48893,0,0.4731534,0.4731534,24,,,,,,,,,,
A1,7/27/2022 15:03,2,ARM,GS2,G,5,5.5,6.536326,0.9099286,57.02526,3,0.5120952,0.5120952,25,,,,,,,,,,
A1,7/27/2022 15:03,2,ARM,GS2,G,0,5.5,4.733719,4.733719,61.759,2,0.4764502,0.4764502,26,,,,,,,,,,
A1,7/27/2022 15:03,2,ARM,GS2,G,5,11,3.647558,1.203012,65.40651,1,0.5106931,0.5106931,27,,,,,,,,,,
A1,7/27/2022 15:03,2,ARM,GS2,G,0,11,3.243698,1.299929,68.65022,0,0.4782387,1.004272,28,,,,,,,,,,
A1,7/27/2022 15:03,2,ARM,GS2,G,5,11,3.968433,1.187877,72.61867,1,0.4672206,0.4672206,29,,,,,,,,,,
A1,7/27/2022 15:03,2,ARM,GS2,G,0,5.5,4.733719,4.733719,61.759,2,0.4764502,0.4764502,30,,,,,,,,,,
A3,7/27/2022 15:03,2,ARM,GS2,G,0,5.5,2.387571,1.872362,20.77931,0,0.4633927,0.4633927,1,,,,,,,,,,
A3,7/27/2022 15:03,2,ARM,GS2,G,2.5,5.5,2.061257,0.5437062,22.84057,0,0.4285368,0.4285368,2,,,,,,,,,,
A3,########,2,ARM,GS2,G,0,5.5,2.339234,1.176054,25.17981,0,0.5012652,0.5012652,3,,,,,,,,,,
A3,########,2,ARM,GS2,G,2.5,11,3.11841,1.039801,28.29823,0,0.4967885,0.4967885,4,,,,,,,,,,
A3,########,2,ARM,GS2,G,0,5.5,2.074462,1.284234,30.37268,0,0.4936172,0.4461957,5,,,,,,,,,,
A3,########,2,ARM,GS2,G,0,5.5,2.687046,1.251228,33.05972,0,0.4225428,0.4225428,6,,,,,,,,,,
A3,########,2,ARM,GS2,G,2.5,11,4.072673,0.8889853,37.1324,1,0.5112945,5.371561,7,,,,,,,,,,
A3,########,2,ARM,GS2,G,0,11,2.442704,0.8655798,39.5751,0,0.4550255,0.4550255,8,,,,,,,,,,
A3,########,2,ARM,GS2,G,0,11,2.046936,0.5432924,41.62202,0,0.4550255,0.4550255,9,,,,,,,,,,
A3,########,2,ARM,GS2,G,0,5.5,2.387571,1.872362,20.77931,0,0.4633927,0.4633927,9,,,,,,,,,,
A3,########,2,ARM,GS2,G,2.5,5.5,2.061257,0.5437062,22.84057,0,0.4285368,0.4285368,10,,,,,,,,,,
A3,########,2,ARM,GS2,G,0,5.5,2.339234,1.176054,25.17981,0,0.5012652,0.5012652,11,,,,,,,,,,
A3,########,2,ARM,GS2,G,2.5,11,3.11841,1.039801,28.29823,0,0.4967885,0.4967885,12,,,,,,,,,,
A3,########,2,ARM,GS2,G,0,5.5,2.074462,1.284234,30.37268,0,0.4936172,0.4461957,13,,,,,,,,,,
A3,########,2,ARM,GS2,G,0,5.5,2.687046,1.251228,33.05972,0,0.4225428,0.4225428,14,,,,,,,,,,
A3,########,2,ARM,GS2,G,2.5,11,4.072673,0.8889853,37.1324,1,0.5112945,5.371561,15,,,,,,,,,,
A3,########,2,ARM,GS2,G,0,11,2.442704,0.8655798,39.5751,0,0.4550255,0.4550255,16,,,,,,,,,,
A3,########,2,ARM,GS2,G,0,11,2.046936,0.5432924,41.62202,0,0.4550255,0.4550255,17,,,,,,,,,,
A3,########,2,ARM,GS2,G,2.5,11,2.450187,0.7669451,44.0722,0,0.506458,4.958972,18,,,,,,,,,,
A3,########,2,ARM,GS2,G,0,11,1.907237,0.6810108,45.97944,0,0.4357692,0.4357692,19,,,,,,,,,,
A3,########,2,ARM,GS2,G,5,5.5,2.603217,1.017486,48.58266,0,0.4562367,0.4562367,20,,,,,,,,,,
A3,########,2,ARM,GS2,G,0,5.5,2.255669,2.255669,50.83834,1,0.4838046,0.4838046,21,,,,,,,,,,
A3,########,2,ARM,GS2,G,2.5,5.5,1.976653,0.6164702,52.81498,0,0.4803967,0.4803967,22,,,,,,,,,,
A3,########,2,ARM,GS2,G,0,5.5,1.921395,1.12863,54.73638,0,0.4538412,0.4538412,23,,,,,,,,,,
A3,########,2,ARM,GS2,G,5,11,4.343966,0.9985797,59.0804,1,0.4844799,0.4844799,24,,,,,,,,,,
A3,########,2,ARM,GS2,G,0,11,3.876849,1.240765,62.95726,1,0.4417126,0.4417126,25,,,,,,,,,,
A3,########,2,ARM,GS2,G,5,5.5,2.486041,0.7828716,65.44332,1,0.5073612,0.5073612,26,,,,,,,,,,
A3,########,2,ARM,GS2,G,0,5.5,2.227962,2.227962,67.6713,1,0.4391296,0.4391296,27,,,,,,,,,,
A3,########,2,ARM,GS2,G,0,11,2.812441,0.9323743,70.48374,0,0.482259,0.482259,28,,,,,,,,,,
A3,########,2,ARM,GS2,G,0,11,2.449266,0.8765795,72.93301,0,0.4456316,0.4456316,29,,,,,,,,,,
A3,########,2,ARM,GS2,G,2.5,5.5,2.088307,0.6600555,75.02135,0,0.4456316,0.4456316,30,,,,,,,,,,
A5,########,2,ARM,GS2,G,0,11,2.116247,0.6600555,2.116247,0,0.4791457,0.4791457,1,,,,,,,,,,
A5,########,2,ARM,GS2,G,5,11,2.381987,1.031374,4.498234,0,0.4732514,0.4732514,2,,,,,,,,,,
A5,########,2,ARM,GS2,G,0,11,3.660957,1.09597,8.159192,1,0.4583453,0.489687,3,,,,,,,,,,
A5,########,2,ARM,GS2,G,5,5.5,4.760785,0.981267,12.91998,0,0.5031675,0.5031675,4,,,,,,,,,,
A5,########,2,ARM,GS2,G,0,11,2.520302,0.7720189,15.44027,0,0.4560961,0.4560961,5,,,,,,,,,,
A5,########,2,ARM,GS2,G,2.5,11,2.519629,0.4455463,17.9599,0,0.496624,0.4842931,6,,,,,,,,,,
A5,########,2,ARM,GS2,G,0,5.5,1.461754,0.9733502,19.42166,0,0.4829982,0.4829982,7,,,,,,,,,,
A5,########,2,ARM,GS2,G,5,11,3.495372,0.688421,22.91703,1,0.483546,0.483546,8,,,,,,,,,,
A5,########,2,ARM,GS2,G,0,11,2.700177,0.8571401,25.61722,1,0.402362,0.402362,9,,,,,,,,,,
A5,########,2,ARM,GS2,G,5,5.5,3.424552,0.6797079,29.04177,0,0.5050237,0.5050237,10,,,,,,,,,,
A5,########,2,ARM,GS2,G,0,5.5,2.436638,2.436638,31.4784,0,0.473798,0.473798,11,,,,,,,,,,
A5,########,2,ARM,GS2,G,0,5.5,1.991108,1.991108,33.46951,0,0.4692178,0.4692178,12,,,,,,,,,,
A5,########,2,ARM,GS2,G,0,11,3.731025,0.8662928,37.20053,0,0.4928423,0.4928423,13,,,,,,,,,,
A5,########,2,ARM,GS2,G,5,5.5,2.839879,0.715725,40.04042,0,0.5124531,0.515393,14,,,,,,,,,,
A5,########,2,ARM,GS2,G,0,5.5,2.520294,2.520294,42.56071,1,0.4809976,0.4809976,15,,,,,,,,,,
A5,########,2,ARM,GS2,G,0,11,1.935701,0.5720114,44.49642,1,0.5139021,0.4611186,16,,,,,,,,,,
A5,########,2,ARM,GS2,G,0,11,2.394017,0.5411225,46.89043,0,0.4748166,0.4748166,17,,,,,,,,,,
A5,########,2,ARM,GS2,G,2.5,5.5,1.559229,0.6033811,48.44964,0,0.4813044,0.4813044,18,,,,,,,,,,
A5,########,2,ARM,GS2,G,0,5.5,2.659361,0.6332354,51.10898,1,0.4928117,0.4928117,19,,,,,,,,,,
A5,########,2,ARM,GS2,G,2.5,5.5,1.90698,0.8001124,53.01597,0,0.5074561,0.5074561,20,,,,,,,,,,
A5,########,2,ARM,GS2,G,0,5.5,1.86573,1.86573,54.88168,0,0.4466906,0.4466906,21,,,,,,,,,,
A5,########,2,ARM,GS2,G,0,5.5,2.297308,1.294294,57.179,0,0.4361147,0.4361147,22,,,,,,,,,,
A5,########,2,ARM,GS2,G,0,11,2.520044,0.7948513,59.69905,0,0.4615033,0.4615033,23,,,,,,,,,,
A5,########,2,ARM,GS2,G,2.5,11,2.380428,0.614099,62.07946,0,0.4750467,0.4750467,24,,,,,,,,,,
A5,########,2,ARM,GS2,G,0,5.5,3.062976,1.1092,65.14246,1,0.4563988,0.4563988,25,,,,,,,,,,
A5,########,2,ARM,GS2,G,2.5,5.5,2.130688,1.177237,67.27319,0,0.4620439,0.4541107,26,,,,,,,,,,
A5,########,2,ARM,GS2,G,0,11,2.324543,0.766222,69.59771,0,0.4292127,0.4292127,27,,,,,,,,,,
A5,########,2,ARM,GS2,G,5,11,2.464408,0.8739791,72.06211,0,0.4861566,0.4861566,28,,,,,,,,,,
A5,########,2,ARM,GS2,G,0,5.5,2.53367,2.53367,74.59585,0,0.473479,0.473479,29,,,,,,,,,,
A5,########,2,ARM,GS2,G,2.5,11,2.56171,0.575389,77.15759,0,0.4961088,0.4961088,30,,,,,,,,,,
W1,########,2,WRIST_ARM,GS2,G,0,11,2.351906,1.164964,2.351906,8,0.4875597,1.601332,1,,,,,,,,,,
W1,########,2,WRIST_ARM,GS2,G,0,5.5,3.523366,0.8647999,5.875269,1,0.4188733,0.4188733,2,,,,,,,,,,
W1,########,2,WRIST_ARM,GS2,G,5,11,3.369605,0.7806213,9.244875,2,0.4951345,8.287861,3,,,,,,,,,,
W1,########,2,WRIST_ARM,GS2,G,0,11,2.21342,0.9757351,11.4583,0,0.5057886,0.5057886,4,,,,,,,,,,
W1,########,2,WRIST_ARM,GS2,G,5,5.5,6.106466,1.356595,17.56476,3,0.4880229,0.4880229,5,,,,,,,,,,
W1,########,2,WRIST_ARM,GS2,G,0,5.5,3.388689,3.388689,20.95345,0,0.4672417,0.4672417,6,,,,,,,,,,
W1,########,2,WRIST_ARM,GS2,G,0,5.5,1.948919,0.5987,22.90237,0,0.5137466,0.5137466,7,,,,,,,,,,
W1,########,2,WRIST_ARM,GS2,G,2.5,5.5,2.241573,0.7324725,25.14395,0,0.4575028,0.4575028,8,,,,,,,,,,
W1,########,2,WRIST_ARM,GS2,G,0,11,4.21526,1.122233,29.35921,0,0.4564068,0.4757021,9,,,,,,,,,,
W1,########,2,WRIST_ARM,GS2,G,2.5,11,3.845496,1.100233,33.20469,0,0.4933437,0.4933437,10,,,,,,,,,,
W1,########,2,WRIST_ARM,GS2,G,0,5.5,3.534651,1.299889,36.73934,1,0.5069088,0.5069088,11,,,,,,,,,,
W1,########,2,WRIST_ARM,GS2,G,0,11,2.35482,0.6762059,39.09417,0,0.4384322,0.469186,12,,,,,,,,,,
W1,########,2,WRIST_ARM,GS2,G,2.5,5.5,4.351812,0.7383426,43.44599,0,0.4597955,7.634537,13,,,,,,,,,,
W1,########,2,WRIST_ARM,GS2,G,0,11,5.240714,1.402162,48.68673,2,0.4916248,0.4916248,14,,,,,,,,,,
W1,########,2,WRIST_ARM,GS2,G,2.5,11,5.534907,1.020909,54.22164,2,0.4622354,0.4622354,15,,,,,,,,,,
W1,########,2,WRIST_ARM,GS2,G,0,5.5,4.474959,1.592584,58.69658,0,0.5045935,0.5045935,16,,,,,,,,,,
W1,########,2,WRIST_ARM,GS2,G,0,5.5,2.380662,1.049004,61.07726,0,0.4100117,0.4100117,17,,,,,,,,,,
W1,########,2,WRIST_ARM,GS2,G,5,5.5,5.757947,1.857541,66.83515,3,0.4871034,0.4871034,18,,,,,,,,,,
W1,########,2,WRIST_ARM,GS2,G,0,11,2.804209,1.438401,69.63936,2,0.4219981,0.4219981,19,,,,,,,,,,
W1,########,2,WRIST_ARM,GS2,G,5,11,6.245731,0.8214654,75.885,1,0.5047465,0.5047465,20,,,,,,,,,,
W1,########,2,WRIST_ARM,GS2,G,0,5.5,4.474959,1.592584,58.69658,0,0.5045935,0.5045935,21,,,,,,,,,,
W1,########,2,WRIST_ARM,GS2,G,0,5.5,2.380662,1.049004,61.07726,0,0.4100117,0.4100117,22,,,,,,,,,,
W1,########,2,WRIST_ARM,GS2,G,5,5.5,5.757947,1.857541,66.83515,3,0.4871034,0.4871034,23,,,,,,,,,,
W1,########,2,WRIST_ARM,GS2,G,0,11,2.804209,1.438401,69.63936,2,0.4219981,0.4219981,24,,,,,,,,,,
W1,########,2,WRIST_ARM,GS2,G,5,11,6.245731,0.8214654,75.885,1,0.5047465,0.5047465,25,,,,,,,,,,
W1,########,2,WRIST_ARM,GS2,G,5,11,3.369605,0.7806213,9.244875,2,0.4951345,8.287861,26,,,,,,,,,,
W1,########,2,WRIST_ARM,GS2,G,0,11,2.21342,0.9757351,11.4583,0,0.5057886,0.5057886,27,,,,,,,,,,
W1,########,2,WRIST_ARM,GS2,G,5,5.5,6.106466,1.356595,17.56476,3,0.4880229,0.4880229,28,,,,,,,,,,
W1,########,2,WRIST_ARM,GS2,G,0,5.5,3.388689,3.388689,20.95345,0,0.4672417,0.4672417,29,,,,,,,,,,
W1,########,2,WRIST_ARM,GS2,G,0,5.5,1.948919,0.5987,22.90237,0,0.5137466,0.5137466,30,,,,,,,,,,
W3,########,2,WRIST_ARM,GS2,G,0,5.5,1.851764,1.128845,1.851764,3,0.4466751,0.4466751,1,,,,,,,,,,
W3,########,2,WRIST_ARM,GS2,G,0,5.5,2.13035,0.9652225,3.982114,0,0.4765714,0.4765714,2,,,,,,,,,,
W3,########,2,WRIST_ARM,GS2,G,2.5,11,3.202137,0.9029523,7.184253,1,0.4881888,0.4881888,3,,,,,,,,,,
W3,########,2,WRIST_ARM,GS2,G,0,11,3.076924,0.7487023,10.26118,0,0.4898975,0.4567112,4,,,,,,,,,,
W3,########,2,WRIST_ARM,GS2,G,0,11,2.895168,0.8384899,13.15635,0,0.5069164,0.7961841,5,,,,,,,,,,
W3,########,2,WRIST_ARM,GS2,G,0,11,2.186473,0.7838627,15.34282,0,0.4768912,0.4768912,6,,,,,,,,,,
W3,########,2,WRIST_ARM,GS2,G,2.5,11,2.615817,0.5305955,17.95864,1,0.4271801,0.4638007,7,,,,,,,,,,
W3,########,2,WRIST_ARM,GS2,G,0,5.5,2.006145,2.006145,19.96479,0,0.4781988,0.6919442,8,,,,,,,,,,
W3,########,2,WRIST_ARM,GS2,G,5,5.5,3.251617,0.6863845,23.2164,3,0.4824552,0.4824552,9,,,,,,,,,,
W3,########,2,WRIST_ARM,GS2,G,0,11,3.124742,1.567991,26.34113,0,0.4543647,0.7624529,10,,,,,,,,,,
W3,########,2,WRIST_ARM,GS2,G,5,11,2.617437,0.5986284,28.95857,0,0.4614976,0.4614976,11,,,,,,,,,,
W3,########,2,WRIST_ARM,GS2,G,0,11,2.534507,1.242737,31.49307,0,0.4788338,0.4788338,12,,,,,,,,,,
W3,########,2,WRIST_ARM,GS2,G,0,11,2.310606,0.01325786,33.80368,0,0.4306594,0.5818633,13,,,,,,,,,,
W3,########,2,WRIST_ARM,GS2,G,2.5,5.5,2.060371,0.6420583,35.86406,0,0.4382052,0.4382052,14,,,,,,,,,,
W3,########,2,WRIST_ARM,GS2,G,0,5.5,1.990858,1.08912,37.85491,1,0.4309428,0.4367,15,,,,,,,,,,
W3,########,2,WRIST_ARM,GS2,G,2.5,5.5,1.907965,1.082281,39.76286,0,0.4248417,0.4248417,16,,,,,,,,,,
W3,########,2,WRIST_ARM,GS2,G,0,5.5,1.753792,0.8662962,41.51665,0,0.4450387,0.4450387,17,,,,,,,,,,
W3,########,2,WRIST_ARM,GS2,G,5,11,2.47784,0.4987251,43.99448,1,0.4650384,0.4650384,18,,,,,,,,,,
W3,########,2,WRIST_ARM,GS2,G,0,5.5,2.464636,1.761457,46.45914,0,0.4597496,0.4597496,19,,,,,,,,,,
W3,########,2,WRIST_ARM,GS2,G,5,5.5,4.045369,0.8191563,50.50452,0,0.4537337,0.4537337,20,,,,,,,,,,
W3,########,2,WRIST_ARM,GS2,G,2.5,11,2.615817,0.5305955,17.95864,1,0.4271801,0.4638007,21,,,,,,,,,,
W3,########,2,WRIST_ARM,GS2,G,0,5.5,2.006145,2.006145,19.96479,0,0.4781988,0.6919442,22,,,,,,,,,,
W3,########,2,WRIST_ARM,GS2,G,5,5.5,3.251617,0.6863845,23.2164,3,0.4824552,0.4824552,23,,,,,,,,,,
W3,########,2,WRIST_ARM,GS2,G,0,11,3.124742,1.567991,26.34113,0,0.4543647,0.7624529,24,,,,,,,,,,
W3,########,2,WRIST_ARM,GS2,G,5,11,2.617437,0.5986284,28.95857,0,0.4614976,0.4614976,25,,,,,,,,,,
W3,########,2,WRIST_ARM,GS2,G,0,11,3.076924,0.7487023,10.26118,0,0.4898975,0.4567112,26,,,,,,,,,,
W3,########,2,WRIST_ARM,GS2,G,0,11,2.895168,0.8384899,13.15635,0,0.5069164,0.7961841,27,,,,,,,,,,
W3,########,2,WRIST_ARM,GS2,G,0,11,2.186473,0.7838627,15.34282,0,0.4768912,0.4768912,28,,,,,,,,,,
W3,########,2,WRIST_ARM,GS2,G,2.5,11,2.615817,0.5305955,17.95864,1,0.4271801,0.4638007,29,,,,,,,,,,
W3,########,2,WRIST_ARM,GS2,G,0,5.5,2.006145,2.006145,19.96479,0,0.4781988,0.6919442,30,,,,,,,,,,
W5,########,2,WRIST_ARM,GS2,G,0,11,1.837133,0.575389,1.837133,1,0.4528404,0.4528404,1,,,,,,,,,,
W5,########,2,WRIST_ARM,GS2,G,0,11,1.907267,0.0138438,3.744398,0,0.4578323,0.4578323,2,,,,,,,,,,
W5,########,2,WRIST_ARM,GS2,G,5,5.5,2.770223,0.9330611,6.514621,0,0.4610535,0.4610535,3,,,,,,,,,,
W5,########,2,WRIST_ARM,GS2,G,0,5.5,2.826576,2.826576,9.341196,0,0.4851436,0.5131164,4,,,,,,,,,,
W5,########,2,WRIST_ARM,GS2,G,5,11,2.380601,0.542241,11.72179,0,0.4703594,0.4703594,5,,,,,,,,,,
W5,########,2,WRIST_ARM,GS2,G,0,11,2.200206,0.8975998,13.922,0,0.4887227,0.4887227,6,,,,,,,,,,
W5,########,2,WRIST_ARM,GS2,G,5,11,2.992611,0.5222126,16.91461,0,0.4588593,0.4588593,7,,,,,,,,,,
W5,########,2,WRIST_ARM,GS2,G,0,11,3.160596,0.803963,20.07521,1,0.4952913,0.4952913,8,,,,,,,,,,
W5,########,2,WRIST_ARM,GS2,G,0,5.5,1.810133,0.6470777,21.88535,0,0.4383159,0.4383159,9,,,,,,,,,,
W5,########,2,WRIST_ARM,GS2,G,2.5,5.5,3.014608,0.8560913,24.89996,1,0.4889666,0.4889666,10,,,,,,,,,,
W5,########,2,WRIST_ARM,GS2,G,0,11,3.452312,0.7468367,28.35228,1,0.5054117,0.4590167,11,,,,,,,,,,
W5,########,2,WRIST_ARM,GS2,G,0,11,3.272583,0.8128397,31.62486,0,0.4816419,0.4816419,12,,,,,,,,,,
W5,########,2,WRIST_ARM,GS2,G,2.5,11,2.373243,0.5481073,33.9981,0,0.5030172,0.4668947,13,,,,,,,,,,
W5,########,2,WRIST_ARM,GS2,G,0,11,2.296336,1.028183,36.29445,0,0.4640578,0.4640578,14,,,,,,,,,,
W5,########,2,WRIST_ARM,GS2,G,5,11,4.246802,1.188893,40.54128,1,0.4906255,0.4906255,15,,,,,,,,,,
W5,########,2,WRIST_ARM,GS2,G,0,11,3.842522,1.291107,44.3838,1,0.4374904,0.4374904,16,,,,,,,,,,
W5,########,2,WRIST_ARM,GS2,G,2.5,11,3.717556,1.181309,48.10136,1,0.4996441,0.4261601,17,,,,,,,,,,
W5,########,2,WRIST_ARM,GS2,G,0,11,2.881346,1.111758,50.98269,0,0.4811156,0.4811156,18,,,,,,,,,,
W5,########,2,WRIST_ARM,GS2,G,2.5,5.5,2.130184,0.7938702,53.11287,0,0.4522265,0.4522265,19,,,,,,,,,,
W5,########,2,WRIST_ARM,GS2,G,0,5.5,3.167412,1.037224,56.28028,1,0.4315491,0.4315491,20,,,,,,,,,,
W5,########,2,WRIST_ARM,GS2,G,0,5.5,1.475127,0.6641516,57.7554,0,0.4100549,0.4100549,21,,,,,,,,,,
W5,########,2,WRIST_ARM,GS2,G,5,5.5,2.304638,0.5953904,60.06004,0,0.4805205,0.4805205,22,,,,,,,,,,
W5,########,2,WRIST_ARM,GS2,G,0,5.5,2.158604,1.741335,62.21863,0,0.4745538,0.4745538,23,,,,,,,,,,
W5,########,2,WRIST_ARM,GS2,G,0,5.5,1.865004,0.7243588,64.08366,0,0.5089593,0.5089593,24,,,,,,,,,,
W5,########,2,WRIST_ARM,GS2,G,2.5,11,4.379058,0.5154281,68.4627,1,0.4928061,0.4928061,25,,,,,,,,,,
W5,########,2,WRIST_ARM,GS2,G,0,5.5,2.192612,0.9646349,70.6553,0,0.4685188,0.4685188,26,,,,,,,,,,
W5,########,2,WRIST_ARM,GS2,G,0,5.5,2.101865,0.9808544,72.75713,0,0.4560818,0.4560818,27,,,,,,,,,,
W5,########,2,WRIST_ARM,GS2,G,2.5,5.5,2.283513,1.273862,75.04066,0,0.4807205,0.4807205,28,,,,,,,,,,
W5,########,2,WRIST_ARM,GS2,G,0,5.5,3.16107,1.085865,78.20178,1,0.4975905,0.4975905,29,,,,,,,,,,
W5,########,2,WRIST_ARM,GS2,G,5,5.5,2.560659,0.9242904,80.76243,0,0.5046852,0.5046852,30,,,,,,,,,,
