,Timestamp,Participant_id,Technique,Gesture_set,Pointer_type,height,distance,Checkpoint_time,Object_view_time,Total_time,mistake_count,d_from_center,d_from_center_with_spike,combo_index,,,,,,,,,,
A3,7/27/2022 14:56,1,ARM,GS2,G,0,11,1.713824,0.01513088,27.37135,0,0.4158487,2.444983,13,,,,,,,,,,
A3,7/27/2022 14:56,1,ARM,GS2,G,0,5.5,1.08574,0.01432005,28.45708,0,0.4347912,1.489685,14,,,,,,,,,,
A3,7/27/2022 14:56,1,ARM,GS2,G,2.5,5.5,1.600791,0.4310324,30.05787,0,0.4605796,0.49185,15,,,,,,,,,,
A3,7/27/2022 14:56,1,ARM,GS2,G,0,11,2.219266,0.3883967,32.27714,0,0.4921704,0.4921704,16,,,,,,,,,,
A3,7/27/2022 14:56,1,ARM,GS2,G,2.5,11,4.435561,0.5985169,36.71273,1,0.5057161,0.5057161,17,,,,,,,,,,
A3,7/27/2022 14:56,1,ARM,GS2,G,0,11,2.075889,0.6295524,38.78862,0,0.482135,0.482135,18,,,,,,,,,,
A3,7/27/2022 14:56,1,ARM,GS2,G,5,11,4.830186,0.6680486,43.61882,0,0.4551769,8.567738,19,,,,,,,,,,
A3,7/27/2022 14:57,1,ARM,GS2,G,0,11,2.380694,0.9120911,45.99953,0,0.5021456,0.9483738,20,,,,,,,,,,
A3,7/27/2022 14:57,1,ARM,GS2,G,5,5.5,1.698372,0.517127,47.6979,0,0.4750085,13.08253,21,,,,,,,,,,
A3,7/27/2022 14:57,1,ARM,GS2,G,0,5.5,2.312089,1.449826,50.00996,0,0.4871007,0.4468293,22,,,,,,,,,,
A3,7/27/2022 14:57,1,ARM,GS2,G,2.5,5.5,1.725806,0.4808992,51.73577,0,0.5047233,9.566353,23,,,,,,,,,,
A3,7/27/2022 14:57,1,ARM,GS2,G,0,11,2.283277,1.00768,54.01905,0,0.5156214,0.5156214,24,,,,,,,,,,
A3,7/27/2022 14:57,1,ARM,GS2,G,2.5,11,2.795928,0.2615898,56.81498,0,0.4237192,5.801482,25,,,,,,,,,,
A3,7/27/2022 14:57,1,ARM,GS2,G,0,5.5,1.56172,0.6641301,58.37668,0,0.4583829,0.759953,26,,,,,,,,,,
A3,7/27/2022 14:57,1,ARM,GS2,G,5,11,2.636565,0.07557969,61.01324,0,0.4967753,0.4967753,27,,,,,,,,,,
A3,7/27/2022 14:57,1,ARM,GS2,G,0,11,1.782401,0.5020076,62.79564,0,0.4268503,0.4775154,28,,,,,,,,,,
A3,7/27/2022 14:57,1,ARM,GS2,G,0,11,3.565622,0.5172361,66.36126,1,0.4925238,1.161782,29,,,,,,,,,,
A3,7/27/2022 14:57,1,ARM,GS2,G,2.5,5.5,2.239978,1.065871,68.60123,0,0.5061193,9.997066,30,2.2867074,,,,,,,,,
A5,7/27/2022 14:57,1,ARM,GS2,G,0,5.5,1.656872,1.065871,1.656872,0,0.469351,0.469351,1,,,,,,,,,,
A5,7/27/2022 14:57,1,ARM,GS2,G,5,11,3.11865,0.2092087,4.775522,1,0.4596316,8.337842,2,,,,,,,,,,
A5,7/27/2022 14:57,1,ARM,GS2,G,0,11,1.921168,0.4825129,6.696692,0,0.497345,0.4445383,3,,,,,,,,,,
A5,7/27/2022 14:57,1,ARM,GS2,G,0,11,2.241583,0.4182546,8.938272,0,0.4950455,1.26121,4,,,,,,,,,,
A5,7/27/2022 14:57,1,ARM,GS2,G,2.5,11,2.687384,0.01357026,11.62566,0,0.4876899,5.557012,5,,,,,,,,,,
A5,7/27/2022 14:57,1,ARM,GS2,G,0,11,1.766674,0.6355246,13.39233,0,0.4925935,0.4925935,6,,,,,,,,,,
A5,7/27/2022 14:57,1,ARM,GS2,G,2.5,5.5,1.407268,0.2773122,14.79959,0,0.5107159,0.5107159,7,,,,,,,,,,
A5,7/27/2022 14:58,1,ARM,GS2,G,0,5.5,2.310645,1.034111,17.11025,0,0.5107159,0.5107159,8,,,,,,,,,,
A5,7/27/2022 14:58,1,ARM,GS2,G,5,5.5,2.6454,0.3855993,19.75565,0,0.4753594,12.34715,9,,,,,,,,,,
A5,7/27/2022 14:58,1,ARM,GS2,G,0,11,1.91923,0.6153011,21.67487,0,0.4784868,1.02762,10,,,,,,,,,,
A5,7/27/2022 14:58,1,ARM,GS2,G,2.5,5.5,2.104387,0.9213024,23.77927,0,0.5096341,0.5096341,11,,,,,,,,,,
A5,7/27/2022 14:58,1,ARM,GS2,G,0,5.5,2.437251,0.9053231,26.21651,0,0.4839855,0.4823049,12,,,,,,,,,,
A5,7/27/2022 14:58,1,ARM,GS2,G,0,5.5,1.962705,0.07456776,28.17922,0,0.464732,0.4477899,13,,,,,,,,,,
A5,7/27/2022 14:58,1,ARM,GS2,G,2.5,11,2.714677,1.055533,30.8939,0,0.4551834,5.696283,14,,,,,,,,,,
