Timestamp,Participant_id,Technique,Gesture_set,height,distance,Pointer_type,Checkpoint_time,Object_view_time,Total_time,mistake_count,d_from_center,d_from_center_with_spike,combo_index
5/30/2022 11:35,1,ARM,GS1,G,5,5.5,3.021079,0.5708451,125.1782,3,0.4688804,0.4995853,52
5/30/2022 11:35,1,ARM,GS1,G,0,5.5,2.171786,0.7955235,127.35,0,0.4853889,0.4853889,53
5/30/2022 11:35,1,ARM,GS1,G,0,5.5,1.280489,0.5008954,128.6304,0,0.467805,0.467805,54
5/30/2022 11:35,1,ARM,GS1,G,0,11,2.047073,0.4510086,130.6775,1,0.5060811,1.248554,55
5/30/2022 11:35,1,ARM,GS1,G,0,11,3.981658,0.6075639,134.6592,0,0.5060811,1.248554,56
5/30/2022 11:35,1,ARM,GS1,G,5,5.5,5.412238,0.6391013,140.0714,0,0.4823155,0.4724733,57
5/30/2022 11:35,1,ARM,GS1,G,0,5.5,4.467295,1.117055,144.5386,0,0.4173267,0.4173267,58
5/30/2022 11:35,1,ARM,GS1,G,2.5,11,4.042779,0.4617237,148.5814,0,0.5014871,0.5014871,59
5/30/2022 11:35,1,ARM,GS1,G,0,5.5,1.907407,0.7023699,150.4888,0,0.4638948,0.4638948,60
5/30/2022 11:35,1,ARM,GS1,G,5,5.5,3.893552,0.6465114,154.3823,0,0.5034309,0.5034309,61
5/30/2022 11:35,1,ARM,GS1,G,0,5.5,2.287932,1.020946,156.6702,0,0.4086972,0.4086972,62
5/30/2022 11:35,1,ARM,GS1,G,5,5.5,2.380589,0.729146,159.0507,0,0.5152715,0.5152715,63
5/30/2022 11:35,1,ARM,GS1,G,0,11,3.981835,1.034159,163.0324,0,0.4689414,0.5070089,64
5/30/2022 11:35,1,ARM,GS1,G,0,11,2.186186,0.2925145,165.2185,0,0.5092177,0.8793465,65
5/30/2022 11:35,1,ARM,GS1,G,5,5.5,3.912952,0.334307,169.1315,0,0.5108032,0.5110063,66
5/30/2022 11:35,1,ARM,GS1,G,0,5.5,2.12913,0.8171997,171.2606,0,0.5102837,0.5102837,67
5/30/2022 11:35,1,ARM,GS1,G,5,11,3.494195,0.6160326,174.7548,0,0.468373,0.468373,68
5/30/2022 11:35,1,ARM,GS1,G,0,11,1.796107,0.3981464,176.551,0,0.4966229,0.4966229,69
5/30/2022 11:35,1,ARM,GS1,G,2.5,5.5,1.531242,0.5326801,178.0822,0,0.4549465,0.4549465,70
5/30/2022 11:35,1,ARM,GS1,G,0,5.5,2.408745,0.4326432,180.4909,0,0.4436159,0.4436159,71
5/30/2022 11:36,1,ARM,GS1,G,5,11,2.325417,0.5392008,182.8163,0,0.5107808,7.86054,72
5/30/2022 11:36,1,ARM,GS1,G,0,5.5,1.879357,0.8219755,184.6956,0,0.44364,0.44364,73
5/30/2022 11:36,1,ARM,GS1,G,5,11,2.89559,0.5493841,187.5911,0,0.47402,0.47402,74
5/30/2022 11:36,1,ARM,GS1,G,0,5.5,1.921152,0.6767816,189.5122,0,0.4643506,0.4643506,75
5/30/2022 11:36,1,ARM,GS1,G,2.5,11,1.949486,0.4481124,191.4617,0,0.4601242,0.4601242,76
5/30/2022 11:36,1,ARM,GS1,G,0,5.5,1.378195,0.3922254,192.8398,0,0.4601242,0.4601242,77
5/30/2022 11:36,1,ARM,GS1,G,5,11,2.673218,0.6200443,195.5131,0,0.5034855,7.889885,78
5/30/2022 11:36,1,ARM,GS1,G,0,11,2.08281,0.8515817,197.5959,0,0.4720931,0.4720931,79
5/30/2022 11:36,1,ARM,GS1,G,5,11,6.354147,1.642063,203.9499,2,0.5030362,0.5030362,80
5/30/2022 11:36,1,ARM,GS1,G,0,5.5,1.949071,0.7832173,205.899,0,0.4472947,0.4472947,81
5/30/2022 11:36,1,ARM,GS1,G,0,11,4.315648,0.5063515,210.2146,0,0.4887744,0.4887744,82
5/30/2022 11:36,1,ARM,GS1,G,0,11,2.380955,0.5467668,212.5956,0,0.4907137,0.4754866,83
5/30/2022 11:36,1,ARM,GS1,G,2.5,11,3.245384,0.5673291,215.8409,0,0.4809588,0.4809588,84
5/30/2022 11:36,1,ARM,GS1,G,0,5.5,6.509792,0.3768297,222.3508,0,0.4497263,0.4351592,85
5/30/2022 11:36,1,ARM,GS1,G,5,5.5,2.112178,1.040966,224.4629,0,0.4631662,0.4631662,86
5/30/2022 11:36,1,ARM,GS1,G,0,11,4.798024,0.7472169,229.261,0,0.5056393,0.5056393,87
5/30/2022 11:36,1,ARM,GS1,G,2.5,5.5,1.879647,0.5162677,231.1407,0,0.5069121,0.5069121,88
5/30/2022 11:36,1,ARM,GS1,G,0,5.5,2.074017,0.536925,233.2147,1,0.4617767,0.4617767,89
5/30/2022 11:36,1,ARM,GS1,G,5,5.5,2.144011,0.6614594,235.3588,0,0.4792359,0.4792359,90
5/30/2022 11:36,1,ARM,GS1,G,0,11,5.04004,0.4203173,240.3987,0,0.4528155,0.4528155,91
5/30/2022 11:36,1,ARM,GS1,G,2.5,11,1.795865,0.518461,242.1947,0,0.4871282,0.4871282,92
5/30/2022 11:37,1,ARM,GS1,G,0,11,1.781963,0.4835206,243.9766,0,0.5038792,0.5038792,93
5/30/2022 11:37,1,ARM,GS1,G,0,5.5,2.409363,0.6096785,246.3859,1,0.5048023,0.5048023,94
5/30/2022 11:37,1,ARM,GS1,G,2.5,11,2.254711,0.7064458,248.6406,0,0.4910934,0.5147166,95
5/30/2022 11:37,1,ARM,GS1,G,0,11,3.968033,0.5249431,252.6086,0,0.4971926,0.4971926,96
5/30/2022 11:37,1,ARM,GS1,G,0,5.5,1.53109,0.406335,254.1397,0,0.4326997,0.4326997,97
5/30/2022 11:37,1,ARM,GS1,G,5,11,2.060903,0.571725,256.2006,0,0.500814,0.4996445,98
5/30/2022 11:37,1,ARM,GS1,G,0,5.5,2.213154,0.8712984,258.414,0,0.4646025,0.4646025,99
5/30/2022 11:41,1,ARM,GS3,G,0,11,1.378299,0.4196277,1.378299,0,0.4250335,0.4250335,1
5/30/2022 11:41,1,ARM,GS3,G,2.5,5.5,1.198139,0.6332378,2.576438,0,0.4732346,0.4732346,2
5/30/2022 11:41,1,ARM,GS3,G,0,5.5,1.266297,0.5475774,3.842734,0,0.4288362,0.4288362,3
5/30/2022 11:41,1,ARM,GS3,G,0,11,1.448373,0.5568817,5.291109,0,0.4288362,0.4288362,4
5/30/2022 11:41,1,ARM,GS3,G,5,5.5,1.907024,0.7246072,7.198132,0,0.5107469,0.5107469,5
5/30/2022 11:41,1,ARM,GS3,G,0,5.5,1.976474,1.197865,9.174604,0,0.4356112,0.4356112,6
5/30/2022 11:41,1,ARM,GS3,G,2.5,11,3.104935,0.5767327,12.27954,0,0.5065578,0.5065578,7
5/30/2022 11:41,1,ARM,GS3,G,0,11,1.921215,0.4439303,14.20076,0,0.4269059,0.4269059,8
5/30/2022 11:41,1,ARM,GS3,G,0,5.5,1.601115,0.01391063,15.80188,0,0.4453285,0.4453285,9
5/30/2022 11:42,1,ARM,GS3,G,0,11,1.480967,0.3871271,1.480967,2,0.4619151,0.4619151,1
5/30/2022 11:42,1,ARM,GS3,G,5,11,2.742808,0.7250956,4.223775,0,0.4939331,0.5044572,2
5/30/2022 11:42,1,ARM,GS3,G,0,11,2.728553,0.5246549,6.952329,0,0.4778296,0.4778296,3
5/30/2022 11:42,1,ARM,GS3,G,5,5.5,2.29711,0.598708,9.249441,0,0.484833,0.484833,4
5/30/2022 11:42,1,ARM,GS3,G,0,11,1.865545,0.5838626,11.11499,0,0.4377126,0.4377126,5
5/30/2022 11:42,1,ARM,GS3,G,0,11,1.796256,0.7522845,12.91124,0,0.4189156,0.4189156,6
5/30/2022 11:42,1,ARM,GS3,G,5,11,2.088622,0.4160631,14.99987,0,0.5135779,0.5135779,7
5/30/2022 11:42,1,ARM,GS3,G,0,11,1.642559,0.3800315,16.64243,0,0.4040617,0.4040617,8
5/30/2022 11:42,1,ARM,GS3,G,2.5,11,1.350402,0.2643651,17.99283,0,0.5008682,0.5008682,9
5/30/2022 11:42,1,ARM,GS3,G,0,5.5,1.781988,0.7400407,19.77481,0,0.4620568,0.4620568,10
5/30/2022 11:42,1,ARM,GS3,G,2.5,11,2.005048,0.3024678,21.77985,1,0.469926,0.5001606,11
5/30/2022 11:42,1,ARM,GS3,G,0,5.5,1.55919,0.5077285,23.33903,0,0.5129732,0.5129732,12
5/30/2022 11:42,1,ARM,GS3,G,5,5.5,2.214126,0.4099286,25.55315,0,0.4942708,0.4942708,13
5/30/2022 11:42,1,ARM,GS3,G,0,11,1.948458,0.4461409,27.50161,0,0.4355727,0.4355727,14
5/30/2022 11:42,1,ARM,GS3,G,5,11,5.401987,0.5897813,32.90359,2,0.4726184,0.4726184,15
5/30/2022 11:42,1,ARM,GS3,G,0,11,1.796469,0.7847378,34.70007,0,0.4149823,0.440292,16
5/30/2022 11:43,1,ARM,GS3,G,5,5.5,2.28345,0.5547089,36.98352,0,0.505725,0.505725,17
5/30/2022 11:43,1,ARM,GS3,G,0,5.5,1.7117,0.9557064,38.69522,0,0.462047,0.462047,18
5/30/2022 11:43,1,ARM,GS3,G,0,11,1.46164,0.01498979,40.15686,0,0.4663448,0.4663448,19
5/30/2022 11:43,1,ARM,GS3,G,0,11,1.685403,0.5445529,41.84228,0,0.43185,0.43185,20
5/30/2022 11:43,1,ARM,GS3,G,2.5,5.5,1.378143,0.4972951,43.22042,0,0.4984905,0.465975,21
5/30/2022 11:43,1,ARM,GS3,G,0,5.5,1.503344,0.5577763,44.72376,0,0.4936754,0.4936754,22
