,participant_id,technique,gesture_set,pointer_type,height,distance,checkpoint_time_o,checkpoint_time,object_view_time,,mistake_count,d_from_center,d_from_center_with_spike,arm_distance,arm_height,wrist_angle,personalization_type,curveCombo,combo_index
,1,WRIST_ARM,GS2,G,0,10.5,5.058085,5.058085,0.832422,,1,0.2387497,0.2387497,10.08847,-0.1217313,349.5082,W3,C0,23
,1,WRIST_ARM,GS2,G,5,10.5,8.065439,8.065439,1.817514,,1,0.2621076,0.2621076,10.01666,-4.978522,322.2137,W3,C0,24
,1,WRIST_ARM,GS2,G,0,10.5,7.859919,7.859919,0.6933569,,0,0.2621076,0.2621076,0.4201947,-0.2993838,11.68635,W3,C0,25
,1,WRIST_ARM,GS2,G,0,10.5,1.843677,1.843677,0.6357971,,0,0.2621076,0.2621076,9.899639,-0.1555843,352.8113,W3,C0,26
,1,WRIST_ARM,GS2,G,0,7.5,2.516048,2.516048,0.5408213,,0,0.2848149,0.3675969,0.4698001,-0.2291671,1.958622,W3,C0,27
,1,WRIST_ARM,GS2,G,5,7.5,2.303218,2.303218,1.052695,,0,0.3086374,0.3086374,6.976907,-4.947905,328.102,W3,C0,28
,1,WRIST_ARM,GS2,G,0,10.5,5.861471,5.861471,0.8189718,,2,0.2685582,2.945955,0.3658511,-0.2083765,359.7777,W3,C0,29
,1,WRIST_ARM,GS2,G,5,10.5,6.454783,6.454783,1.149583,,1,0.2685582,2.945955,9.850573,-4.923331,327.6068,W3,C0,30
,1,WRIST_ARM,GS2,G,0,7.5,2.563809,2.563809,1.149583,,8,0.2744943,0.2744943,7.053648,-0.1920122,0.3414039,W3,C0,1
,1,WRIST_ARM,GS2,G,5,7.5,1.903904,1.903904,0.627231,,0,0.3845185,0.3845185,0.5227404,0.05181742,329.0068,W3,C0,2
,1,WRIST_ARM,GS2,G,0,10.5,4.081636,4.081636,0.5136144,,2,0.3845185,0.3845185,10.0367,4.731131,6.771517,W3,C0,3
,1,WRIST_ARM,GS2,G,0,7.5,2.138113,2.138113,0.7368524,,0,0.2872757,0.2872757,6.955195,-0.1958579,359.3171,W3,C0,4
