participant_id,technique,gesture_set,pointer_type,height,distance,checkpoint_time,mistake_count,d_from_center,d_from_center_with_spike,arm_distance,arm_height,wrist_angle,personalization_type,curveCombo,combo_index
14,WRIST_ARM,GS2,G,5,7.5,2.341597,0,0.3721844,0.3721844,7.03553,-4.804257,324.0102,W3,C3,11
14,WRIST_ARM,GS2,G,0,7.5,2.711272,0,0.3721844,0.3721844,6.946838,4.662758,29.36316,W3,C3,12
14,WRIST_ARM,GS2,G,0,7.5,2.883718,0,0.2868423,0.2868423,0.5612397,-0.08069777,1.115579,W3,C3,13
14,WRIST_ARM,GS2,G,5,10.5,2.519469,0,0.2769272,0.2769272,9.93584,-4.792552,326.3412,W3,C3,14
14,WRIST_ARM,GS2,G,0,10.5,2.436525,0,0.3036979,3.634551,9.972458,4.793067,9.506346,W3,C3,15
14,WRIST_ARM,GS2,G,0,7.5,3.604856,1,0.2553886,4.588167,6.911366,-0.04898667,359.1328,W3,C3,16
14,WRIST_ARM,GS2,G,0,10.5,2.161365,0,0.2553886,4.588167,10.05831,-0.07478809,352.1995,W3,C3,17
14,WRIST_ARM,GS2,G,5,10.5,3.561178,0,0.2553886,4.588167,9.932337,-4.799883,328.0876,W3,C3,18
14,WRIST_ARM,GS2,G,0,7.5,2.8549,0,0.2891298,0.2891298,7.15769,4.698806,6.600118,W3,C3,19
14,WRIST_ARM,GS2,G,5,10.5,2.562009,0,0.3064072,0.3064072,0.6042298,0.1889963,326.4687,W3,C3,20
14,WRIST_ARM,GS2,G,0,10.5,2.574578,0,0.2059098,0.2059098,9.965828,4.762364,14.21795,W3,C3,21
14,WRIST_ARM,GS2,G,5,10.5,2.437809,0,0.2445714,12.63747,9.864671,-4.805444,326.5017,W3,C3,22
14,WRIST_ARM,GS2,G,0,7.5,2.185493,0,0.2445714,12.63747,7.09167,4.692425,19.68576,W3,C3,23
14,WRIST_ARM,GS2,G,5,7.5,3.981806,0,0.3113649,0.3113649,0.5983127,0.2020226,323.9116,W3,C3,24
14,WRIST_ARM,GS2,G,0,7.5,2.60307,0,0.3113649,0.3113649,7.110984,4.705144,9.315229,W3,C3,25
14,WRIST_ARM,GS2,G,5,7.5,4.093729,0,0.3113649,0.3113649,6.915208,-4.743834,324.3424,W3,C3,26
14,WRIST_ARM,GS2,G,0,10.5,4.345108,0,0.3867353,2.486885,0.4061679,-0.2486051,3.7644,W3,C3,27
14,WRIST_ARM,GS2,G,5,7.5,2.615926,0,0.243505,0.243505,6.89153,-4.808311,323.812,W3,C3,28
14,WRIST_ARM,GS2,G,0,10.5,6.182319,2,0.2889477,0.2889477,0.4658912,-0.2958996,10.95262,W3,C3,29
14,WRIST_ARM,GS2,G,5,10.5,4.384827,0,0.2889477,0.2889477,0.6270269,0.2552357,327.3915,W3,C3,30
14,WRIST_ARM,GS2,G,0,10.5,2.433484,1,0.2499183,0.2499183,10.03679,-0.1449677,348.2291,W3,C0,1
14,WRIST_ARM,GS2,G,0,10.5,2.08937,0,0.2499183,0.2499183,9.877757,-0.03674829,352.8445,W3,C0,2
14,WRIST_ARM,GS2,G,0,7.5,2.587843,0,0.3503288,0.3503288,0.5149044,-0.09786868,357.8547,W3,C0,3
14,WRIST_ARM,GS2,G,5,7.5,2.158635,0,0.3240373,0.3240373,6.894773,-4.81267,325.5923,W3,C0,4
14,WRIST_ARM,GS2,G,0,7.5,2.142792,0,0.263991,0.263991,7.041542,4.69529,20.04617,W3,C0,5
14,WRIST_ARM,GS2,G,5,10.5,2.369125,0,0.263991,0.263991,9.90018,-4.84665,326.6122,W3,C0,6
14,WRIST_ARM,GS2,G,0,10.5,2.089118,0,0.263991,0.263991,0.4669476,-0.252996,10.18099,W3,C0,7
14,WRIST_ARM,GS2,G,0,10.5,2.060275,0,0.2605172,0.2605172,0.6288287,-0.05504251,351.2445,W3,C0,8
14,WRIST_ARM,GS2,G,0,10.5,1.88174,0,0.290135,0.290135,0.5572804,-0.07852924,350.418,W3,C0,9
14,WRIST_ARM,GS2,G,5,10.5,2.531615,0,0.360561,0.360561,9.9502,-4.815383,323.6931,W3,C0,10
14,WRIST_ARM,GS2,G,0,7.5,1.988163,0,0.3029788,0.3029788,6.958553,4.651162,23.5548,W3,C0,11
14,WRIST_ARM,GS2,G,5,7.5,2.256912,0,0.3029788,0.3029788,0.6056918,0.1717372,327.0385,W3,C0,12
14,WRIST_ARM,GS2,G,0,7.5,3.27156,1,0.3219557,0.3219557,7.025404,4.651028,20.74128,W3,C0,13
14,WRIST_ARM,GS2,G,0,7.5,2.826852,2,0.3264247,0.3264247,6.911856,-0.1601349,359.293,W3,C0,14
14,WRIST_ARM,GS2,G,5,10.5,2.884156,0,0.2843578,12.37154,0.5716753,0.08225584,329.2831,W3,C0,15
14,WRIST_ARM,GS2,G,0,7.5,2.336787,0,0.3657045,0.340488,6.95796,4.620924,27.72441,W3,C0,16
14,WRIST_ARM,GS2,G,5,10.5,2.243414,0,0.3657045,0.340488,9.953429,-4.825317,326.2328,W3,C0,17
14,WRIST_ARM,GS2,G,0,10.5,2.462408,0,0.3657045,0.340488,9.99311,4.658674,13.43342,W3,C0,18
14,WRIST_ARM,GS2,G,5,7.5,2.356475,0,0.3452145,15.03132,6.951868,-4.879802,325.3934,W3,C0,19
14,WRIST_ARM,GS2,G,0,7.5,1.68182,0,0.2218519,0.2218519,0.4387469,-0.3915408,21.64729,W3,C0,20
14,WRIST_ARM,GS2,G,0,10.5,2.800301,0,0.2905694,0.2905694,9.974166,-0.08954918,352.4444,W3,C0,21
14,WRIST_ARM,GS2,G,0,10.5,2.379291,0,0.329684,0.329684,0.6216372,-0.1081506,353.1301,W3,C0,22
14,WRIST_ARM,GS2,G,0,7.5,2.757492,1,0.2408174,0.2408174,0.5448981,-0.2008985,358.2891,W3,C0,23
