participant_id,technique,gesture_set,pointer_type,height,distance,checkpoint_time,mistake_count,d_from_center,d_from_center_with_spike,arm_distance,arm_height,wrist_angle,personalization_type,curveCombo,combo_index
10,WRIST_ARM,GS2,G,5,10.5,2.869352,0,0.3172651,0.280674,10.08001,-4.922805,328.435,W3,C4,11
10,WRIST_ARM,GS2,G,0,10.5,4.871904,1,0.2511779,2.264618,10.02923,4.697189,14.06412,W3,C4,12
10,WRIST_ARM,GS2,G,5,10.5,2.855524,0,0.2511779,2.264618,10.06701,-4.950749,328.4459,W3,C4,13
10,WRIST_ARM,GS2,G,0,7.5,2.197988,0,0.3465165,2.127131,7.04242,4.615383,27.98423,W3,C4,14
10,WRIST_ARM,GS2,G,0,7.5,1.881504,0,0.3465165,2.127131,7.113246,-0.1654674,354.6732,W3,C4,15
10,WRIST_ARM,GS2,G,5,7.5,2.337642,0,0.3339016,0.2799569,6.934188,-4.934179,330.4692,W3,C4,16
10,WRIST_ARM,GS2,G,0,7.5,2.145346,0,0.3119456,0.3119456,7.173876,4.719527,12.43998,W3,C4,17
10,WRIST_ARM,GS2,G,5,10.5,3.033283,0,0.3119456,0.3119456,9.889166,-4.9435,331.7401,W3,C4,18
10,WRIST_ARM,GS2,G,0,7.5,3.134616,0,0.3119456,0.3119456,7.184127,4.817923,3.458269,W3,C4,19
10,WRIST_ARM,GS2,G,0,7.5,1.989696,0,0.3217129,0.3217129,0.5100558,-0.244471,3.690019,W3,C4,20
10,WRIST_ARM,GS2,G,0,10.5,3.176118,0,0.2955773,0.2955773,10.0848,-0.002555013,334.6516,W3,C4,21
10,WRIST_ARM,GS2,G,5,10.5,2.657573,0,0.3785473,0.3785473,9.823246,-4.924992,328.3868,W3,C4,22
10,WRIST_ARM,GS2,G,0,10.5,2.228781,0,0.3007525,0.3007525,0.3565782,-0.1889018,357.299,W3,C4,23
10,WRIST_ARM,GS2,G,0,7.5,2.336362,0,0.3007525,0.3007525,6.994123,-0.2290241,359.7864,W3,C4,24
10,WRIST_ARM,GS2,G,0,10.5,2.564694,0,0.3007525,0.3007525,10.0892,-0.0377878,341.6727,W3,C4,25
10,WRIST_ARM,GS2,G,0,10.5,3.228059,0,0.2926627,0.2926627,9.875175,-0.1951339,357.7044,W3,C4,26
10,WRIST_ARM,GS2,G,0,7.5,2.090055,0,0.2926627,0.2926627,7.078601,-0.1232266,351.7856,W3,C4,27
10,WRIST_ARM,GS2,G,5,7.5,1.960783,0,0.3018172,0.3018172,6.904424,-4.927951,329.8195,W3,C4,28
10,WRIST_ARM,GS2,G,0,10.5,3.259796,0,0.2533737,0.2533737,10.09128,4.876439,355.5263,W3,C4,29
10,WRIST_ARM,GS2,G,5,7.5,2.241336,0,0.2533737,0.2533737,0.5708221,0.08756304,330.5479,W3,C4,30
10,WRIST_ARM,GS2,G,0,7.5,1.642226,0,0.3394249,11.07556,7.15315,-0.1454719,344.6615,W3,C3,1
10,WRIST_ARM,GS2,G,0,7.5,2.15809,0,0.2934524,0.2934524,7.015068,-0.260421,357.8173,W3,C3,2
10,WRIST_ARM,GS2,G,0,10.5,4.164618,0,0.2934524,0.2934524,10.09667,0.01135838,330.754,W3,C3,3
