participant_id,technique,gesture_set,pointer_type,height,distance,checkpoint_time,mistake_count,d_from_center,d_from_center_with_spike,arm_distance,arm_height,wrist_angle,personalization_type,curveCombo,combo_index
1,WRIST_ARM,GS2,G,5,7.5,2.72214,0,0.2671725,13.85666,0.4740293,0.01314402,329.7676,W3,C0,11
1,WRIST_ARM,GS2,G,0,10.5,6.998422,2,0.2671725,13.85666,0.4418277,-0.2963649,12.2357,W3,C0,12
1,WRIST_ARM,GS2,G,5,7.5,2.370706,0,0.2671725,13.85666,7.086563,-4.940744,328.5267,W3,C0,13
1,WRIST_ARM,GS2,G,0,7.5,2.681729,0,0.2527826,0.2527826,6.987032,4.640254,22.80419,W3,C0,14
1,WRIST_ARM,GS2,G,5,10.5,5.62698,0,0.2527826,0.2527826,0.4354399,0.08638906,330.1031,W3,C0,15
1,WRIST_ARM,GS2,G,0,7.5,2.897424,0,0.2958338,0.2958338,6.984358,4.672554,19.9734,W3,C0,16
1,WRIST_ARM,GS2,G,5,10.5,2.50405,0,0.2958338,0.2958338,0.4482839,0.07418013,328.4952,W3,C0,17
1,WRIST_ARM,GS2,G,0,7.5,2.313252,0,0.2958338,0.2958338,6.998011,4.66672,16.95074,W3,C0,18
1,WRIST_ARM,GS2,G,0,10.5,2.225026,0,0.3400492,0.3400492,9.977567,-0.09309292,347.4135,W3,C0,19
1,WRIST_ARM,GS2,G,0,10.5,2.497242,0,0.3001835,4.318082,9.905021,-0.1166043,347.9659,W3,C0,20
1,WRIST_ARM,GS2,G,5,7.5,5.694836,2,0.3001835,4.318082,6.964033,-4.961318,326.0739,W3,C0,21
1,WRIST_ARM,GS2,G,0,7.5,1.71887,0,0.2307187,0.3299116,7.035107,4.630547,17.27664,W3,C0,22
1,WRIST_ARM,GS2,G,5,10.5,2.072011,0,0.2307187,0.3299116,10.01468,-4.937803,327.5664,W3,C0,23
1,WRIST_ARM,GS2,G,0,10.5,2.274273,0,0.2808468,0.2808468,10.0121,4.687078,9.959623,W3,C0,24
1,WRIST_ARM,GS2,G,0,7.5,2.225517,0,0.2869758,0.2869758,0.4248993,-0.1897889,357.6912,W3,C0,25
1,WRIST_ARM,GS2,G,0,10.5,2.690215,0,0.2869758,0.2869758,9.876248,-0.1801401,353.4892,W3,C0,26
1,WRIST_ARM,GS2,G,0,10.5,3.377044,0,0.2869758,0.2869758,9.969589,-0.1488197,352.2665,W3,C0,27
1,WRIST_ARM,GS2,G,0,7.5,1.899837,0,0.323428,0.323428,6.933333,-0.1875627,359.3899,W3,C0,28
1,WRIST_ARM,GS2,G,0,10.5,3.306007,1,0.323428,0.323428,10.05936,-0.1420622,351.8854,W3,C0,29
1,WRIST_ARM,GS2,G,5,10.5,3.038677,0,0.3107454,0.3107454,9.947117,-4.965755,327.5218,W3,C0,30
1,WRIST_ARM,GS2,G,0,7.5,1.929112,3,0.3234223,0.2709523,7.174273,-0.1099042,337.2567,W3,C1,1
1,WRIST_ARM,GS2,G,5,10.5,3.699090667,1,0.3234223,0.2709523,10.04447,-4.983603,322.0666,W3,C1,2
1,WRIST_ARM,GS2,G,0,10.5,3.747002,1,0.30629,0.30629,0.3581169,-0.2475425,359.8252,W3,C1,3
1,WRIST_ARM,GS2,G,0,7.5,2.04211,0,0.30629,0.30629,7.051844,-0.195811,352.2935,W3,C1,4
1,WRIST_ARM,GS2,G,5,10.5,2.095859,0,0.30629,0.30629,0.4498193,0.03931808,323.6721,W3,C1,5
1,WRIST_ARM,GS2,G,0,10.5,1.599599,0,0.2588032,3.202381,10.01759,4.697382,5.437455,W3,C1,6
1,WRIST_ARM,GS2,G,5,7.5,2.081813,0,0.2375738,0.3214008,0.4029375,0.05228806,323.647,W3,C1,7
1,WRIST_ARM,GS2,G,0,7.5,2.235939,0,0.2375738,0.3214008,7.035088,4.630526,19.25222,W3,C1,8
1,WRIST_ARM,GS2,G,5,10.5,1.915391,0,0.2375738,0.3214008,9.994012,-4.931099,324.5532,W3,C1,9
1,WRIST_ARM,GS2,G,0,7.5,1.971252,0,0.3345141,0.3345141,7.037191,4.632208,17.8997,W3,C1,10
1,WRIST_ARM,GS2,G,0,10.5,2.180149,0,0.3345141,0.3345141,0.464926,-0.1684487,353.2632,W3,C1,11
1,WRIST_ARM,GS2,G,0,7.5,1.415871,0,0.2885525,0.2885525,7.027781,-0.2158717,357.4878,W3,C1,12
1,WRIST_ARM,GS2,G,0,7.5,1.957985,0,0.2600054,0.2600054,7.019306,-0.1890804,359.2374,W3,C1,13
1,WRIST_ARM,GS2,G,5,10.5,3.206507,0,0.287374,0.287374,9.932506,-4.999263,329.1341,W3,C1,14
1,WRIST_ARM,GS2,G,0,10.5,2.237554,0,0.2406517,0.3940189,0.4040776,-0.2591201,7.894267,W3,C1,15
1,WRIST_ARM,GS2,G,5,7.5,2.040392,0,0.334871,0.334871,6.95098,-4.967913,328.2474,W3,C1,16
1,WRIST_ARM,GS2,G,0,10.5,5.456171,2,0.334871,0.334871,10.06456,4.749389,2.016172,W3,C1,17
1,WRIST_ARM,GS2,G,0,10.5,2.623898,0,0.3064546,0.304265,10.08519,-0.1456083,349.5222,W3,C1,18
1,WRIST_ARM,GS2,G,5,7.5,1.820961,0,0.3064546,0.304265,7.07302,-4.948099,324.2026,W3,C1,19
1,WRIST_ARM,GS2,G,0,10.5,2.093099,0,0.2584746,0.2800981,10.04144,4.687565,6.3188,W3,C1,20
1,WRIST_ARM,GS2,G,0,7.5,1.62535,0,0.2992268,0.2917759,7.040632,-0.207063,353.8263,W3,C1,21
1,WRIST_ARM,GS2,G,0,7.5,2.054865,0,0.2775035,0.2689671,7.055594,-0.1972567,356.8929,W3,C1,22
1,WRIST_ARM,GS2,G,0,10.5,2.015178,0,0.2844636,0.2844636,10.02828,-0.1087176,346.9352,W3,C1,23
1,WRIST_ARM,GS2,G,0,7.5,1.679425,0,0.2924574,0.3708559,7.032193,-0.196623,355.6945,W3,C1,24
1,WRIST_ARM,GS2,G,0,10.5,1.847786,0,0.2924574,0.3708559,10.04986,-0.1127578,345.4474,W3,C1,25
1,WRIST_ARM,GS2,G,5,7.5,2.678530667,1,0.2924574,0.3708559,6.993451,-4.982688,326.0216,W3,C1,26
1,WRIST_ARM,GS2,G,0,7.5,1.847034,0,0.2227423,0.2227423,7.056506,4.675982,17.0442,W3,C1,27
1,WRIST_ARM,GS2,G,5,10.5,2.846213,0,0.2227423,0.2227423,10.04154,-4.966544,325.5414,W3,C1,28
