participant_id,height,distance,checkpoint_time,mistake_count,pointerHand,confirmationType,Tech,targetSize,combo_index
1,0,11,3.435666,0,righthand,timeout,righthandtimeout,0.8,7
1,0,5.5,2.995546,0,righthand,timeout,righthandtimeout,0.4,8
1,0,11,6.040033,1,righthand,timeout,righthandtimeout,0.4,9
1,5,5.5,2.900222,0,righthand,timeout,righthandtimeout,0.4,10
1,0,11,2.709942,0,righthand,timeout,righthandtimeout,0.8,11
1,0,11,7.187665,0,righthand,timeout,righthandtimeout,0.4,12
1,0,5.5,1.932801,0,righthand,timeout,righthandtimeout,0.6,13
1,0,11,4.097434,0,righthand,timeout,righthandtimeout,0.6,14
1,0,5.5,2.001244,0,righthand,timeout,righthandtimeout,0.4,15
1,0,5.5,2.118762,0,righthand,timeout,righthandtimeout,0.6,16
1,0,11,2.155368,0,righthand,timeout,righthandtimeout,0.8,17
1,5,11,3.817786,0,righthand,timeout,righthandtimeout,0.4,18
1,0,11,11.48212,1,righthand,timeout,righthandtimeout,0.6,19
1,0,11,3.636998,0,righthand,timeout,righthandtimeout,0.4,20
1,5,5.5,2.310811,0,righthand,timeout,righthandtimeout,0.8,21
1,0,5.5,5.151148,1,righthand,timeout,righthandtimeout,0.8,22
1,0,11,2.669764,0,righthand,timeout,righthandtimeout,0.6,23
1,0,11,2.46733,0,righthand,timeout,righthandtimeout,0.8,24
1,0,11,2.392541,0,righthand,timeout,righthandtimeout,0.8,25
1,5,5.5,2.25872,0,righthand,timeout,righthandtimeout,0.8,26
1,0,11,5.969333,1,righthand,timeout,righthandtimeout,0.4,27
1,5,5.5,3.150135,0,righthand,timeout,righthandtimeout,0.4,28
1,0,11,4.294204,0,righthand,timeout,righthandtimeout,0.6,29
1,0,11,5.520205,0,righthand,timeout,righthandtimeout,0.8,30
1,5,11,2.754161,0,righthand,timeout,righthandtimeout,0.4,31
1,0,5.5,3.32959,0,righthand,timeout,righthandtimeout,0.6,32
1,0,5.5,2.880957,0,righthand,timeout,righthandtimeout,0.8,33
1,0,11,5.50056,0,righthand,timeout,righthandtimeout,0.4,34
1,5,11,2.879724,0,righthand,timeout,righthandtimeout,0.8,35
1,0,5.5,2.368913,0,righthand,timeout,righthandtimeout,0.8,36
1,0,5.5,2.002417,0,righthand,timeout,righthandtimeout,0.8,37
1,5,11,3.399597,0,righthand,timeout,righthandtimeout,0.8,38
1,0,11,11.6785,1,righthand,timeout,righthandtimeout,0.6,39
1,5,5.5,2.885911,0,righthand,timeout,righthandtimeout,0.6,40
1,0,11,6.177681,0,righthand,timeout,righthandtimeout,0.6,41
1,0,5.5,2.565032,0,righthand,timeout,righthandtimeout,0.4,42
1,0,5.5,1.890641,0,righthand,timeout,righthandtimeout,0.8,43
1,0,11,3.693271,0,righthand,timeout,righthandtimeout,0.8,44
1,5,11,2.697592,0,righthand,timeout,righthandtimeout,0.6,45
1,0,5.5,4.581815,1,righthand,timeout,righthandtimeout,0.6,46
1,5,11,3.409387,0,righthand,timeout,righthandtimeout,0.4,47
1,0,5.5,4.749702,1,righthand,timeout,righthandtimeout,0.6,48
1,5,5.5,2.560617,0,righthand,timeout,righthandtimeout,0.8,49
1,0,5.5,3.413118,0,righthand,timeout,righthandtimeout,0.8,50
1,5,5.5,2.407344,0,righthand,timeout,righthandtimeout,0.8,51
1,0,11,2.171463,0,righthand,timeout,righthandtimeout,0.6,52
1,5,11,2.560945,0,righthand,timeout,righthandtimeout,0.6,53
1,0,5.5,3.523783,0,righthand,timeout,righthandtimeout,0.4,54
1,5,11,4.259328,0,righthand,timeout,righthandtimeout,0.6,55
1,0,5.5,1.822037,0,righthand,timeout,righthandtimeout,0.6,56
1,5,5.5,2.661603,0,righthand,timeout,righthandtimeout,0.6,57
1,0,5.5,1.532423,1,righthand,lefthand,righthandlefthand,0.6,1
1,0,5.5,1.478457,0,righthand,lefthand,righthandlefthand,0.6,2
1,5,11,2.08536,1,righthand,lefthand,righthandlefthand,0.8,3
1,0,5.5,3.323512,2,righthand,lefthand,righthandlefthand,0.6,4
1,5,5.5,1.67457,0,righthand,lefthand,righthandlefthand,0.6,5
1,0,11,3.985683,1,righthand,lefthand,righthandlefthand,0.6,6
1,0,5.5,1.73858,0,righthand,lefthand,righthandlefthand,0.4,7
1,0,5.5,1.936988,1,righthand,lefthand,righthandlefthand,0.4,8
1,5,11,2.406591,2,righthand,lefthand,righthandlefthand,0.8,9
1,0,11,3.537242,1,righthand,lefthand,righthandlefthand,0.8,10
1,5,5.5,2.755609,0,righthand,lefthand,righthandlefthand,0.4,11
1,0,11,2.116907,1,righthand,lefthand,righthandlefthand,0.6,12
1,5,5.5,1.502661,0,righthand,lefthand,righthandlefthand,0.6,13
1,0,5.5,3.148669,1,righthand,lefthand,righthandlefthand,0.6,14
1,5,11,2.936683,0,righthand,lefthand,righthandlefthand,0.4,15
1,0,11,5.863152,1,righthand,lefthand,righthandlefthand,0.8,16
1,0,11,3.546971,0,righthand,lefthand,righthandlefthand,0.6,17
1,0,11,2.912527,0,righthand,lefthand,righthandlefthand,0.6,18
1,0,11,2.28161,0,righthand,lefthand,righthandlefthand,0.8,19
1,5,11,2.61987,0,righthand,lefthand,righthandlefthand,0.6,20
1,0,11,2.627222,1,righthand,lefthand,righthandlefthand,0.6,21
1,0,5.5,1.812233,1,righthand,lefthand,righthandlefthand,0.8,22
1,0,5.5,1.249988,0,righthand,lefthand,righthandlefthand,0.8,23
1,5,11,2.330408,1,righthand,lefthand,righthandlefthand,0.6,24
1,0,5.5,3.699915,2,righthand,lefthand,righthandlefthand,0.8,25
1,0,5.5,4.27774,1,righthand,lefthand,righthandlefthand,0.4,26
1,0,5.5,2.098502,0,righthand,lefthand,righthandlefthand,0.8,27
1,0,11,2.717558,0,righthand,lefthand,righthandlefthand,0.8,28
1,0,5.5,1.613575,0,righthand,lefthand,righthandlefthand,0.8,29
1,0,11,2.509775,0,righthand,lefthand,righthandlefthand,0.8,30
1,0,11,7.291239,1,righthand,lefthand,righthandlefthand,0.4,31
1,0,11,2.8005,0,righthand,lefthand,righthandlefthand,0.4,32
1,0,5.5,1.822029,0,righthand,lefthand,righthandlefthand,0.6,33
1,0,5.5,1.729134,1,righthand,lefthand,righthandlefthand,0.4,34
1,5,11,3.695208,1,righthand,lefthand,righthandlefthand,0.4,35
1,0,11,3.833835,1,righthand,lefthand,righthandlefthand,0.4,36
1,5,11,3.522014,0,righthand,lefthand,righthandlefthand,0.4,37
1,0,11,2.089874,7,lefthand,lefthand,lefthandlefthand,0.5,1
1,5,11,2.506625,0,lefthand,lefthand,lefthandlefthand,0.9,2
1,0,5.5,2.182894,1,lefthand,lefthand,lefthandlefthand,0.7,3
1,0,11,2.161719,0,lefthand,lefthand,lefthandlefthand,0.9,4
1,5,11,1.918997,0,lefthand,lefthand,lefthandlefthand,0.7,5
1,0,11,3.007567,0,lefthand,lefthand,lefthandlefthand,0.7,6
1,0,11,2.184823,0,lefthand,lefthand,lefthandlefthand,0.7,7
1,5,5.5,2.064347,0,lefthand,lefthand,lefthandlefthand,0.9,8
1,0,11,2.862847,0,lefthand,lefthand,lefthandlefthand,0.7,9
1,0,11,1.939986,0,lefthand,lefthand,lefthandlefthand,0.9,10
1,0,11,2.488964,0,lefthand,lefthand,lefthandlefthand,0.5,11
1,0,5.5,1.519705,0,lefthand,lefthand,lefthandlefthand,0.5,12
1,5,5.5,2.045101,0,lefthand,lefthand,lefthandlefthand,0.7,13
1,0,11,2.563853,1,lefthand,lefthand,lefthandlefthand,0.7,14
1,0,5.5,1.571163,0,lefthand,lefthand,lefthandlefthand,0.9,15
1,0,5.5,2.160776,1,lefthand,lefthand,lefthandlefthand,0.9,16
1,0,5.5,1.44559,0,lefthand,lefthand,lefthandlefthand,0.5,17
1,0,5.5,1.645641,0,lefthand,lefthand,lefthandlefthand,0.5,18
1,0,5.5,1.598696,0,lefthand,lefthand,lefthandlefthand,0.5,19
1,5,5.5,2.159843,0,lefthand,lefthand,lefthandlefthand,0.7,20
1,0,5.5,2.517264,0,lefthand,lefthand,lefthandlefthand,0.9,21
1,0,11,2.732288,0,lefthand,lefthand,lefthandlefthand,0.5,22
