timestamp,participant_id,technique,gesture_set,pointer_type,height,distance,checkpoint_time,object_view_time,total_time,mistake_count,d_from_center,d_from_center_with_spike,arm_distance,arm_height,wrist_angle,personalization_type,curveCombo,pointerHand,confirmationType,targetSize,combo_index
2/9/2023 13:45,99,WRIST_ARM,GS2,G,5,5.5,2.17433,0.7815015,41.91093,0,0.4082134,0.404116,5.415839,-4.910343,315.1362,W2,C3,righthand,righthand,0.9,8
2/9/2023 13:45,99,WRIST_ARM,GS2,G,0,5.5,2.058023,0.9164127,43.96896,0,0.437747,0.4315033,4.769923,4.575774,30.68521,W2,C3,righthand,righthand,0.7,9
2/9/2023 13:45,99,WRIST_ARM,GS2,G,5,11,2.147856,0.4028332,46.11681,0,0.437747,0.4315033,0.4320433,0.1441398,316.2777,W2,C3,righthand,righthand,0.7,10
2/9/2023 13:45,99,WRIST_ARM,GS2,G,0,5.5,1.72222,0.635869,47.83904,0,0.5631093,0.6245213,5.571318,4.626081,25.61494,W2,C3,righthand,righthand,0.9,11
2/9/2023 13:45,99,WRIST_ARM,GS2,G,5,11,3.971588,0.4057838,51.81063,0,0.3428286,12.31382,9.994222,-4.892904,316.1779,W2,C3,righthand,righthand,0.5,12
2/9/2023 13:45,99,WRIST_ARM,GS2,G,0,11,2.448443,0.5823569,54.2591,0,0.4558757,0.7186633,0.4389193,-0.26543,2.575035,W2,C3,righthand,righthand,0.9,13
2/9/2023 13:45,99,WRIST_ARM,GS2,G,0,5.5,1.672598,0.347797,55.9317,0,0.347605,0.4286689,4.910216,-0.2189833,350.5605,W2,C3,righthand,righthand,0.7,14
2/9/2023 13:45,99,WRIST_ARM,GS2,G,0,5.5,1.18155,0.4175532,57.11324,0,0.2960028,0.2942287,5.025137,-0.2466697,358.7523,W2,C3,righthand,righthand,0.7,15
2/9/2023 13:45,99,WRIST_ARM,GS2,G,0,11,3.775457,0.278392,60.88867,0,0.5994372,0.5401637,10.81745,0.002871513,336.2936,W2,C3,righthand,righthand,0.9,16
2/9/2023 13:45,99,WRIST_ARM,GS2,G,5,5.5,1.989974,0.9309853,62.87864,0,0.5084912,0.4169372,0.5210685,0.1481977,312.0924,W2,C3,righthand,righthand,0.9,17
